"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","myDefine","myDefine()",""
"passed","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","1","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","onlyOn64BitArchitectures","onlyOn64BitArchitectures()",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","9","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","not null",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","junit5.RepeatDemo","","junit5.RepeatDemo","repeatedTestInGerman","Wiederholung 1 von 5",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","junit5.RepeatDemo","","junit5.RepeatDemo","repeatedTestWithRepetitionInfo","repetition 2 of 5",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","0","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo5","testDemo5",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","0","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo4","testDemo4",""
"passed","Thu Jul 01 15:36:05 CST 2021","Thu Jul 01 15:36:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromStream","racecar",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","junit5.RepeatDemo","","junit5.RepeatDemo","customDisplayName","Repeat! 1/1",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:51",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[2] Micros",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:19",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","length > 0",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[5] Minutes",""
